"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","608"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""reference/encyclopedia"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"scielo.br","uma cumplicidade /solidariedade com eles: </s><s> [...] Em 1975, [...] Dr. Hélio Lessa [...], Dr.Cortizo e Dr. Antonio Borja","nos convidaram para fazer","umas palestras no auditório da Ordem dos Advogados da Bahia (OAB). [...] Um paciente com laringectomia se ofereceu"
"scielo.br","abandonado pela mulher e chorava muito. </s><s> Consegui que ele falasse o /pá/, e ele sentiu uma emoção extraordinária [...],","nos convidaram para fazer","umas palestras no auditório da Ordem dos Advogados da Bahia (OAB) e este paciente com laringectomia se ofereceu para"
"scielo.br","por um salto, por uma decisão que vai além das premissas. </s><s> Creio que essa é uma boa orientação metodológica, uma vez que","nos encaminha para seguir","os impasses que surgem, levando-os ao limite. </s><s> Não podemos esquecer que um impasse, para citarmos a definição de Koyré"
"scielo.br","do outro município. </s><s> A gente tinha uma psicóloga que fez uma capacitação e chamou todos os agentes de saúde da cidade. </s><s> Ela","nos reuniu para orientar","sobre como funcionavam os CAPS, explicando quem os profissionais deveriam procurar primeiro, porque nós ainda não"
"scielo.br","nas margens secas do rio. </s><s> No local, estavam acampados também uns índios Ianomami com algumas mulheres indígenas. </s><s> Ao","nos prepararmos para fazer","o acampamento, os índios Maiongong, que nos serviam de práticos de rio, ouviram uma conversa dos índios acampados que"
"scielo.br","a visibilidade do trabalho que realizamos em relação às DCN no campo da saúde, de tal forma que outras áreas vêm","nos procurando para assessorar","suas reformas curriculares. </s><s> Entre elas, curiosamente, estão a meteorologia, a biblioteconomia, a veterinária, a"
"scielo.br","didática. </s><s> Após o levantamento das publicações, estabelecemos alguns critérios para a determinação do corpus no qual","nos baseamos para elaborar","o Modelo Didático do artigo científico: </s><s> coleta de um artigo de cada revista, chegando ao total de 7 artigos que"
"scielo.br","mostrar nesse caso. </s><s> Acabou sendo uma exposição muito bem-sucedida. </s><s> E depois disso a Sociedade Histórica da Virgínia","nos pediu para fazer","outra exposição sobre a Reconstrução. </s><s> E nós a fizemos. </s><s> Isso aconteceu na década de 1990, e ela circulou por vários anos"
"scielo.br","em análise o momento presente. </s><s> Momento em que, resistindo às formulações impostas como verdades inquestionáveis,","nos abrimos para pensar","o impensável do pensamento, o invisível da visão e o indizível da palavra ( Levy, 2003 ). </s><s> Neste texto somos movidas pela"
"scielo.br","(1). </s><s> Peso silábico e palavras coincidentes com monossílabos pesados no português medieval </s><s> O segundo argumento em que","nos apoiaremos para atribuir","importância ao peso silábico na fonologia do português será colhido em dados da diacronia. </s><s> No português medieval (PM)"
"scielo.br","e evolução histórica dos trópicos americanos. (...) Se vamos à essência da nossa formação, veremos que na realidade","nos constituímos para fornecer","açúcar, tabaco, alguns outros gêneros; mais tarde ouro e diamantes; depois, algodão, e em seguida café para o comércio"
"scielo.br","através da ampliação da equipe editorial e do banco de pareceristas, pela redefinição de funções editoriais e estamos","nos organizando para instituir","a publicação ahead of print que tem como principal objetivo, disponibilizar as publicações aprovadas com mais"
"scielo.br","desse processo de conhecer-se, pouco a pouco, dos elementos que nos constituem as práticas que produzimos e que","nos produzem para pensar","o exercício da educação como um ensinar-se a si sobre si mesmo e ensinar aos outros o processo provisório que é"
"scielo.br","de seus direitos enfatiza os princípios da universalidade, integralidade e equidade da atenção à saúde. </s><s> Precisamos","nos organizar para buscar","nossos direitos enquanto paciente. </s><s> As dificuldades ainda são muitas, tanto na vida pessoal como no próprio"
"scielo.br",", e nos ensina a ter cuidados que nos ajudam a evitar as generalizações apressadas. </s><s> O pensamento paradigmático","nos orienta para promover","aprendizagens que possam ser transferidas de um contexto para outros, permitindo nos anteciparmos ao movimento"
"scielo.br","na entrevista quando um dos dois entrevistados (Ava1) disse não ter recebido artigo do título a que estávamos","nos referindo para avaliar","no ano anterior, e o outro (Ava2) afirmou ter recebido apenas um artigo. </s><s> Segundo os avaliadores, essa situação não é"
"scielo.br",". </s><s> [...] essa cobrança de ser especialista é muito grande da sociedade, dos profissionais e de si. </s><s> Nunca conversa","te induzindo para ser","generalista, é incentivado a fazer residências [...]. </s><s> A sociedade cobra muito a especialização, qualquer que te"
"scielo.br","introdutórias </s><s> É no âmbito das políticas em curso nas associações de pesquisa e nos programas de pós-graduação que","nos colocamos para pensar","no contemporâneo os modos de produção e avaliação no campo da educação. </s><s> A valorização e a sustentação de um processo de"
"scielo.br","que conformam a Educação Física, ao contrário de sugerir um relativismo niilista, traz à tona o compromisso de que","nos esforcemos para explicitar","as razões ético-políticas dos lugares que assumimos. </s><s> Uma tarefa certamente mais árdua quando se tem em vista o caráter"
"scielo.br","Orestes Quércia, transcrita no livro, ilustra bastante bem o conflito travado no interior do partido: ""enquanto","nos esforçamos para obter","a restauração do habeas corpus, a revogação do Ato no 5 e a defesa das liberdades democráticas, evidentemente"
"scielo.br",": Autonomia, movimento indígena, educação escolar </s><s> O pessoal está se reunindo para mudar essa escola. </s><s> Estamos","nos reunindo para ver","como seria a escola ideal para nós. (Relatório do II Encontro dos Professores Indígenas do AM e de RR, Manaus, 1989) </s><s> (..."
"scielo.br","constituir um coletivo implicado com o ato pedagógico de produção de saúde. </s><s> As inquietações não podem parar; precisam","nos estimular para movimentar","a RAPS em caminhos que se reconfiguram permanentemente, que nos apertam e nos soltam. </s><s> Como escreveu o poeta Guimarães"
"scielo.br","espaço do Conselho como realidade mágica, mas sim que a sociedade participe desse espaço porque percebo que as pessoas","nos procuram para saber","como o conselheiro poderia ajudar numa situação ou outra. </s><s> Enfim, procuram o Conselho Comunitário de Saúde para que"
"scielo.br",", quando os médicos entram em contato comigo, encaminhando casos"", ou ainda como afirma E16, ""quando os auxiliares","nos procuram para solicitar","atendimento e as próprias mães reconhecem o trabalho da gente"". </s><s> Contudo, a despeito da avaliação positiva, diversas"
"scielo.br","tem que se cuidar sou eu. </s><s> Trabalhando naquele setor eu tenho que me cuidar! </s><s> Usar os EPIs adequados que a nossa empresa","nos dá para usar","(Nadia). </s><s> Para os trabalhadores da limpeza hospitalar não existe uma associação do trabalho com a doença numa relação"
"scielo.br","e integral não está ainda bem assimilada, e as palavras proferidas não representam com exatidão o modelo que","nos baseamos para aferir","os serviços. </s><s> Deste modo, é possível concluir que é necessário elaborar, em maior profundidade, um modelo"
"scielo.br","treinados para exercer as suas funções, mas tínhamos sempre um número inferior ao realmente necessário, portanto,","nos desdobrávamos para dar","uma assistência boa aos pacientes. </s><s> No início da formação do hospital, trabalhavam conosco os antigos ''enfermeiros''"
"scielo.br","apresentar uma advertência importante: a de que as modalidades assistênciais e os sistemas de saúde estrangeiros não","nos servem para serem","copiados mas sim para nos inspirar, pois nós brasileiros vamos ter que pensar as soluções para os nossos problemas. </s>"
"scielo.br","e por uma vida digna, conforme a narrativa de um adolescente: </s><s> Tudo que o pessoal ''tá falando é verdade, mas, se não","nos unirmos para mudar",", se nós não lutarmos para mudar, conversar para tentar mudar o que está acontecendo, vai continuar a mesma coisa. ("
"scielo.br","trabalhar c/ os aliados para pressionar o regime de Maduro e (para) restaurar a democracia para o povo venezuelano"",","nos diz para observar","o trabalho que estão realizando com os aliados para restaurar a democracia para o povo venezuelano. </s><s> Em relação à"
"scielo.br","a mulher que está em trabalho de parto. </s><s> Marilia Deixa eu fazer uma ponte agora. </s><s> Como você leva essas coisas que você está","nos contando para enfrentar","o problema da Saúde Pública no país? </s><s> Umas das discussões atuais da epidemiologia é o retorno do foco para a intervenção,"
"scielo.br","reconhecer sua parcela de culpa em nossa loucura, sua responsabilidade em não conseguir nos fazer segundo aquilo que","nos criou para ser",". </s><s> Nosso direito de, como viriam a denominar, ""cruzar"" a tal linha que divide os gêneros só começa a ganhar corpo à medida"
"scielo.br","e tecnologia propriamente constituem um departamento, mas com uma perspectiva que se realize finalmente... Isso que","nos moveu para fazer","em São Paulo esse trabalho, enquanto se desencadeia um processo de verdadeiro desmanche... </s><s> A proposta de"
"scielo.br","deste desenvolvimento mais sofisticado que o primeiro mundo já tem na área desses produtos, e nós devíamos pensar como","nos capacitarmos para fazer","isso. </s><s> Fora da área de vacinas, já se sabe que os fatores de coagulação são a galinha dos ovos de ouro. </s><s> Quem já conseguiu"
"scielo.br",", que ela capacita-nos a conhecer o mundo enquanto o mutila, na medida em que requer que nos retiremos do mundo e","nos inclinemos para vê-lo","como algo diferente do que é por ele mesmo como um espetáculo suscetível de ser lido à maneira de um texto (como com a """
"scielo.br","em atividades produtivas e recreativas que, algumas vezes, são coincidentes. </s><s> Chamar os porcos que estão soltos","nos faxinais para alimentá-los",", encontrar onde as galinhas botaram seus ovos para recolhê-los são exemplos de atividades realizadas pelas crianças"
"scielo.br",". </s><s> O governo, acho, que não dá conta de todas as casas. </s><s> Eu acho que se a população não ajudar, né, eles também não podem virem","nos quintais para ver","se tem dengue ou não: adianta o governo e os médicos ficarem fazendo campanha se eu não limpo o meu quintal e a minha"
"scielo.br",". </s><s> Na próxima seção contextualizamos a economia pretérita do Vale do Ribeira, região originária dos dados dos quais","nos serviremos para esmiuçar","o padrão de riqueza mensurado com base nos inventários e os efeitos decorrentes da mensuração da riqueza líquida e sua"
"scielo.br","pesquisas etnográficas em razão de meu pertencimento à Antropologia e da possibilidade que a conversa e a convivência","nos oferecem para aprofundar","o conhecimento sobre uma microlocalidade e um círculo circunscrito de indivíduos, geralmente, relacionados. </s>"
"scielo.br","matter nos permite avançar outra leitura sobre o gênero, numa via situada entre Butler e Laplanche. </s><s> Essa reelaboração","nos serve para pensar","um horizonte mais amplo para uma teoria do gênero como performativo, a partir de um quadro teórico que vai além da"
"scielo.br","relação com a formação dos futuros profissionais. </s><s> A análise inserida nos pressupostos da Análise Crítica do Discurso","nos direciona para explicitar",", em primeiro lugar, qual dos discursos presentes no universo atual da psicologia é o dominante. </s><s> Queremos identificar"
"scielo.br","possuir materialidade apenas em ato e estar implicada na produção das relações entre dois sujeitos. </s><s> Esta explanação","nos serve para compreendermos","a importância do uso das tecnologias leves em processos de cuidado usuário-centrados. </s><s> No caso dos cuidados nos CAPS, o"
"scielo.br","definição simples uma tópica que podemos ver dimensionada no decorrer do livro e, também, da literatura de Perec, que","nos interessa para pensar","um currículo da diferença, qual seja: a da ideia de que, no viver, deixamos passar uma dimensão de experiência vital e"
"scielo.br",", superando as práticas psicológicas centradas apenas no atendimento clínico-individual, ainda que também tenha","nos preparado para exercitá-las",", caso esta demanda se apresente a nós, mas em um enquadre que não desconsidere as determinações sociais que incidem com"
"scielo.br","hoje nos mosteiros trapistas não é um regulamento nem voto mas um respeito que cada monge nutre pelo mistério do outro. </s><s>","Nos esforçamos para manter","um estado de oração constante, a memoria Dei, e por isso um ambiente de silêncio propicia maior facilidade para atingir"
"scielo.br","países ocidentais, o autor joga luz sobre a forte carga paradoxal que está presente em nosso cotidiano: ""Quanto mais","nos pedem para lembrar",", no rastro da explosão da informação e da comercialização da memória, mais nos sentimos no perigo do esquecimento e"
"scielo.br","Rohde continua durante 2008, para garantir a continuidade na gestão. </s><s> Em 1998, Miguel Roberto Jorge e Rogério Aguiar","nos convidaram para liderar","a revista que na época se chamava Revista da Associação Brasileira de Psiquiatria (ABP) e da Associación Psiquiátrica"
"scielo.br","envolvidos. </s><s> Ainda que seja prazeroso, chega ao prazer pela dor, vinculando assim duas sensações que a ''sexualidade''","nos diz para manter","separadas. </s><s> Ele exagera e erotiza o poder em situações nas quais a ''sexualidade'' nos exorta a minimizá-las ou"
"scielo.br","século. </s><s> Pretensioso, sim, porém necessário e correto. </s><s> É preciso aproveitar estes marcos e rituais que a nossa cultura","nos oferece para refletir","sobre nossa atuação como profissionais. </s><s> Na verdade, há apenas uma aparência de que estamos pensando apenas o futuro. </s>"
