"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","231"
"query","Query:[tag=""V.*""][lemma=""para""][lemma=""nós|tu|vós|vocês|eles|elas""][tag=""V.N.*""] within <doc (genre=""news"") & (tld=""br"") />"
"Reference","Left","KWIC","Right"
"senado.leg.br",". </s><s> Faço aqui minhas as palavras do Senador Mozarildo quando se manifestou sobre o reingresso de V. Exa aqui. </s><s> É muito","orgulho para nós recebermos","figura tão ilustre, Ministro da melhor estirpe, político sem a menor jaça, de volta a esta Casa. </s><s> Sei que Minas está lhe"
"senado.leg.br",", eminente Senador da República Zequinha. </s><s> Mas serei muito breve, Sr. Presidente. </s><s> O que me traz à tribuna na tarde de hoje","é para nós falarmos","sobre a PEC 98. </s><s> Eu reputo da maior importância essa PEC, pelo fato de estarmos, com certeza, melhorando a vida dos"
"senado.leg.br","eu quero deixar bem claro -, nós estamos protelando a solução da crise econômica, política e ética do nosso País, porque","era para nós estarmos","discutindo aqui alternativas. </s><s> O impeachment é a solução do confronto, interessa os dois grupos que estão se"
"senado.leg.br","Unidos pelo Brasil/PP - RS. </s><s> Pela ordem.) – E com relação à terra para estrangeiros? </s><s> Também é uma matéria importante. </s><s> Não","dá para nós ajustarmos","com relação a esse projeto do Senador Irajá? </s><s> O SR. PRESIDENTE (Davi Alcolumbre. </s><s> Bloco Parlamentar Vanguarda/DEM - AP)"
"senado.leg.br",", e eu vou dar um ensinamento para que eles não repitam a besteira de se imiscuírem aqui, querendo fazer leis. </s><s> Leis","são para nós fazermos",". </s><s> Nós temos que fazer recuar o Presidente de mandar as medidas provisórias, que são leis indevidas, e não abrir mão. </s><s> E"
"senado.leg.br","ter que realizar, rápida. </s><s> E eu preciso devolver o que nós fizemos para os sub-relatores e, depois que eles aprovarem, me","devolverem para nós publicarmos","com 48 horas para votação. </s><s> A nossa programação original, Presidente, era: fazemos a reunião hoje; eu pediria que os"
"senado.leg.br","a reativar um pouco, vai animar, vai fazer com que você levante com mais ânimo, com que você levante dizendo: ""Olha,","dá para nós enfrentarmos","melhor, vamos mais para frente"". </s><s> Acho ajuda muito os ânimos, espírito para cima é melhor do que estar com a cabeça baixa. </s>"
"senado.leg.br","das indenizações devidas, pagamento esse que só seria efetuado após a manifestação do Judiciário. </s><s> Por isso,","temos para nós ser","da maior importância que a decisão do Superior Tribunal de Justiça, que firmou jurisprudência sobre a espécie, seja"
"senado.leg.br",", é da vida parlamentar; o Deputado também. </s><s> Mas, neste momento, o nosso Presidente – V. Exa é da Mesa Diretora – nos","convocou para nós estarmos","aqui. </s><s> Se nós não estamos aqui e não há o mínimo de um sexto aqui, nós não podemos começar a sessão. </s><s> E o §1o do art. 28 é claro. </s><s> O"
"senado.leg.br","de estar com a Presidenta Dilma, o Ministro Ricardo Berzoini, o Ministro Jaques Wagner, a Ministra Izabella Vieira","foi para nós tratarmos","especificamente da crise que toma conta hoje do meu Estado de Roraima. </s><s> Eu falei para a Presidenta que Roraima, quando"
"senado.leg.br","educação e a nossa cultura. </s><s> O Governo não tem o direito de julgar por nós, não tem o direito de escolher qual a versão mais","adequada para nós compreendermos","a realidade. </s><s> O Governo não pode nem imaginar que pode tutelar a nossa liberdade de compreender um fato e assim julgá-lo e"
"senado.leg.br","Rose, apesar do pedido do Senador Jorginho, naturalmente eu vou aquiescer e ceder a palavra a ela para que ela se","manifeste para nós começarmos","o item 2, que é um item em que aparentemente há unanimidade, pelo que me foi comunicado, e que nós poderíamos votá-lo de"
"senado.leg.br","provisórias, quanto mais governado por vetos. </s><s> E que venham para cá propostas para gerar emprego, que venham aqui","propostas para nós podermos","avançar nos problemas da saúde. </s><s> É isso que quer o povo. </s><s> É isso que topa dialogar o Congresso, mas infelizmente o Governo"
"senado.leg.br","mais importantes do que as emendas individuais, porque elas resultam de deliberação. </s><s> Ainda ontem a bancada mineira se","reuniu para nós estabelecermos","as nossas prioridades. </s><s> Então, não podemos ser tratados de uma forma desairosa, desrespeitosa, que tire recursos da"
"senado.leg.br","que mais representa contra todo o mundo, que haveria de estranhar alguém representar contra alguém do PSOL. </s><s> Não","daria para nós imaginarmos","que estaria nascendo um outro PT intocável até chegar ao poder, e, no poder, as pessoas mudam às vezes, enfim. </s><s> Eu"
"senado.leg.br","dele, como, por exemplo, a obrigatoriedade de as crianças terem acompanhamento na unidade básica de saúde,","contribuíram para nós reduzirmos","a mortalidade infantil. </s><s> E essa decisão da Presidenta foi fundamental, porque, nos últimos anos, nós tivemos uma"
"senado.leg.br","for o caso, o próprio empregador pode pagar uma parte – é a proposta que o Cid coloca –, e eu concordo com essa tese. </s><s> O que não","dá para nós fazermos",", nessa reforma, é acabar com o regime de repartição e ficar esperando o que o Governo vai mandar para o trabalhador, que"
"senado.leg.br","acertar com o Deputado Luiz Carlos Hauly, ex-Deputado, que tem um projeto que V. Exa. e 65 Senadoras e Senadores","assinaram para nós iniciarmos","a discussão da reforma tributária. </s><s> Tanta a previdenciária quanto a tributária são pontos fundamentais para"
"senado.leg.br",", na Vila Militar – o General Braga Netto –, na qual disse que o uso abusivo, o uso daquele recurso que a Constituição","estabelece para nós fazermos","– a GLO (Garantia da Lei e da Ordem) – funcionava como uma cortina de fumaça – e não podia ser assim – por políticos ou pela"
"folhape.com.br",", como cidadão que conhece a vida, como sexagenário, estudioso, professor, aceitar ideologia de gênero [...]. </s><s> Não","cabe para nós admitir","artificialidades. </s><s> Contra a ideologia de gênero é um dos nossos mais importantes valores, da família e da dignidade da"
"clicrbs.com.br","são as cores da camisa. </s><s> Foi covarde, bateu, foi beneficiado por uma bandeirinha que inventou dois impedimentos,","era para nós termos","feito 4 a 0 ou 5 a 0. </s><s> Informado sobre as declarações de Montenegro, o técnico do Figueirense, Mário Sérgio, evitou a troca"
"clicrbs.com.br","e Grêmio </s><s> – Se a diretoria do Palmeiras está oferecendo a mala-preta para o Sport, eu não vejo nenhum problema. </s><s> Tudo que","for para nós ajudar","a conquistar a vaga na Libertadores é importante – afirma o lateral-direito Wendel. </s><s> O time comandado por Caio Jr."
"clicrbs.com.br",", às 16h, no Estádio Olímpico. </s><s> – Nós estamos preparados. </s><s> Nesse pouco tempo de trabalho, procurei posicionar bem a","equipe para nós conseguirmos","um bom resultado. </s><s> Estou confiando muito. </s><s> Confio também na nossa direção, no trabalho, nesse projeto desse clube. </s><s> Me"
"clicrbs.com.br","lateral Gilberto. </s><s> – Não foi um resultado ruim, nós conseguimos criar as chances, mas a bola não entrou. </s><s> No segundo tempo","faltou para nós pressionar","um pouco mais para conseguir o segundo gol – disse Gilberto. </s><s> O Palmeiras venceu o Fluminense com facilidade nesta"
"clicrbs.com.br","petistas e de partidos que apóiam o governo federal, como PSB, PMDB, PPS e PTB, no segundo turno. </s><s> – O presidente","pediu para nós darmos","sustentação aos companheiros do partido e aos aliados para que possamos eleger o maior número no segundo turno –"
"ofuxico.com.br","ela, desde que alugou o apartamento, estou desconhecendo, muito estranho para a minha cabeça. </s><s> Dizia que","era para nós ficarmos","um pouco lá e cá, tudo começou aí. </s><s> Antes de eu contrair a Covid-19, a gente começou a brigar muito, porque ela alugou um"
"ofuxico.com.br","para continuar a tradição de criar obras de arte e celebrar os acontecimentos marcantes da história da família real. </s><s> É","apropriado para nós lançar","uma moeda comemorativa, assim como fizemos no batizado do príncipe George"", explicou. </s><s> Vale lembrar que o batizado da"
"ofuxico.com.br","61 anos, pendurada à beira de um buraco no chão. </s><s> ""Era a cena do voodoo e eu estava presa, esperando ser resgatada por Bond. </s><s>","Era para nós descermos","em uma tumba juntos, mas tudo deu errado"", contou à revista Hello!. </s><s> ""A tumba era uma empilhadeira disfarçada e quando o"
"ofuxico.com.br","<s> ""Eu acho que não, ele sabe que eu sou profissional e sei que ele também é. </s><s> Acho que não dá espaço para ciúme. </s><s> Ele está feliz e","torcendo para nós fazermos","o melhor"". </s><s> Mas, na hora de gravar, Marina conta que cada um prefere manter o seu espaço, apesar de serem muito unidos: """
"unisinos.br","Francisco, esses bispos abordam direta ou indiretamente algumas perguntas desafiadoras para a própria Igreja. </s><s> O que","significa para nós considerar","as pessoas LGBT ""nossos irmãos e irmãs""? </s><s> De que forma os católicos criam desprezo pelas pessoas LGBT? </s><s> Onde podemos"
"unisinos.br","precisa mais de terra, que já está de bom tamanho, só precisa trabalhar"", conta a liderança Tupy Myky. ""A todo momento","pedindo para nós desistirmos",", que se a gente desistir eles estarão a nosso favor, vão em Brasília brigar com o governo para disponibilizarem"
"unisinos.br","e os comportamentos so uma resposta s indicaes sociais fornecidas por outras pessoas. </s><s> Conceit </s><s> ""Vigiar neste Advento","será para nós permanecer","fiéis na noite, vigiando para não transformar a pequena chama da nossa fé em um sol brilhante que cega a todos. </s><s> Que a noite"
"unisinos.br","mais à intimidade e ao silêncio da noite do que à praça lotada de pessoas ao meio-dia. </s><s> Vigiar, neste Advento, portanto,","será para nós saber","contar o Evangelho sem romper o silêncio da noite. </s><s> Jesus, no fim, faz de nós fiéis na noite à espera, e aquele que espera,"
"unisinos.br","artigo publicado no sítio do Mosteiro de Bose e reproduzido pelo IHU em 2016, mas atual para 2020. ""Vigiar neste Advento","será para nós permanecer","fiéis na noite, vigiando para não transformar a pequena chama da nossa fé em um sol brilhante que cega a todos. </s><s> Que a noite"
"unisinos.br","para os povos indígenas. </s><s> Desde a colonização todos os governos que passaram, tudo que aconteceu ao longo da história","serve para nós conhecermos","que nenhum desses governos apoiou os povos indígenas. </s><s> Nós temos que nos reorganizar, pensar em estratégias futuras"
"unisinos.br",", Morton publicou seu livro desafiando a ideia de ""natureza"", bem como sua continuação, em que questionava o que","significa para nós confiar","em inúmeros outros seres de forma insondável e complexa. </s><s> Ele também se juntou a um pequeno e controverso movimento"
