"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","145"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"tv7dias.pt","com o Toni este tempo todo"", grita ainda Bárbara, levando Duarte ao desespero: ""Pára, Bárbara. </s><s> Não foi para isto que","te pedi para vires","comigo"". </s><s> ""Foi para quê, então? </s><s> Para me humilhares?"", questiona Nazaré. ""Foi para a minha mulher perceber que não há,"
"timeout.pt","com Moullinex à data desta entrevista] seria a melhor pessoa para explicar isso. </s><s> Arranjámos alguma coisa com que","nos identificávamos para fazer","uma festa queer, livre e segura. </s><s> Simone Francisco – Já foi há algum tempo [as festas Groove Ball começaram em 2011]. </s><s> A"
"timeout.pt","Moniz vende-se avulso, em pedaços de vários tamanhos. </s><s> Não, não tem nada a ver com aqueles tubinhos minúsuculos que","nos dão para mexer","o café. </s><s> Cravinho em grão </s><s> Especiaria com um aroma forte e ligeiramente picante, é muito utilizada na culinária do"
"timeout.pt","própria. </s><s> Procuramos sempre a profundidade, mesmo quando falhamos. </s><s> E temos noção que também falhamos. </s><s> Vamos supor que","vos convidam para apresentar","um espectáculo apenas durante três dias. </s><s> Aceitam? </s><s> NL: Desde que depois o possamos trazer para o Meridional. </s><s> À séria. </s>"
"timeout.pt","temporada. </s><s> Mas os apoios têm sido enormes de outra forma. </s><s> Este sítio [co-living SameSame, na Rua da Madalena] não","nos cobra para estarmos","e gravarmos um episódio aqui. </s><s> Há episódios em que temos um patrocinador de roupa. </s><s> A banheira do Fred Ferreira, por"
"timeout.pt",", onde não falta a cara da conhecida pintora mexicana Frida Kahlo. </s><s> Fui guiada pelo restaurante pelo empregado que","nos atendeu para conhecer","estes detalhes e o conceito que por ali se pretende, e constatei ao longo da refeição que todo o staff é de uma atenção e"
"timeout.pt","confronto com coisas novas no mundo. </s><s> Ao mesmo tempo, dá vontade de gritar ''seu idiota, porque é que o teu instinto não","te diz para agir","?!''. </s><s> A certa altura, desata a rir descontroladamente, o que o mete em sarilhos. </s><s> Mas, no momento seguinte, ele próprio é o"
"timeout.pt","é olhar para onde os outros não olham. </s><s> Esta responsabilidade torna-se ainda mais importante nos momentos em que","nos dizem para desviar","o olhar"", disse em palco o realizador mexicano que soma já quatro Óscares na sua carreira. </s><s> Já a A Favorita, do grego"
"timeout.pt","as relações, também esta tem as suas crises. </s><s> O amor está lá, mas a paixão tem altos e baixos, momentos em que é preciso que","nos afastemos para bater","a saudade e dar valor. </s><s> O final do Inverno costuma ser um desses momentos. </s><s> Precisamos de espaço. </s><s> Precisamos de tempo – bom"
"anossavida.pt","à parede e digo já que é uma vantagem. </s><s> Ela tem 7 anos e quando dormimos com ela (mesmo quando éramos pequenina), ou","nos deitamos para adormecer","é mais fácil pois ela fica encostada à parede sem termos receio de cair. </s><s> A questão de fazer a cama resolvemos com lençóis"
"anossavida.pt","ninguém vai te impedir de pegares no megafone Vá lá aproveita esta manifestação que vem e diz a tua justiça. </s><s> Pode ser que","te animes para LUTARES","por ti, pelos teus filhos (não sei se tens), familia, amigos e pelo teu povo. </s><s> Novo Registo </s><s> Opinião </s><s> Ao longo da, ainda"
